ID,ImageID,OTUID,Assemblage,CSize,B1a_raw,B2a_raw,B3a_raw,L1a_raw,L2a_raw,L3a_raw,L4a_raw,Pp_raw,B2p_raw,B3p_raw,L2p_raw,L3p_raw,L4p_raw,B1a_cor,B2a_cor,B3a_cor,L1a_cor,L2a_cor,L3a_cor,L4a_cor,Pp_cor,B2p_cor,B3p_cor,L2p_cor,L3p_cor,L4p_cor
1248,4737,51,West Runton Freshwater Bed,1886,65,60,73,71,68,69,68,72,78,68,75,70,72,75.32,69.72,79.71,79.76,76.13,76.55,74.73,81.63,94.1,81.8,89.33,82.1,83.97
1247,4745,51,West Runton Freshwater Bed,1946,75,71,79,82,78,77,68,71,92,78,89,88,83,80.83,76.49,82.79,86.95,82.6,81.27,71.8,76.44,101.1,85.8,97.1,94.84,89.76
1246,4753,51,West Runton Freshwater Bed,1776,53,62,70,62,69,72,67,78,75,78,75,85,72,71.55,79.46,82.06,77.74,83.62,85.58,79.1,95.31,103.93,102.8,100.75,106.74,93.5
1245,4762,51,West Runton Freshwater Bed,1778,61,52,62,58,57,67,65,71,74,65,74,75,73,79.4,69.32,73.96,73.61,71.5,80.47,77.0,88.17,102.69,89.6,99.55,96.56,94.33
1244,4777,51,West Runton Freshwater Bed,1810,54,61,55,65,68,70,70,54,76,66,67,89,78,70.01,76.07,65.41,78.58,80.61,81.72,80.44,68.93,100.96,87.4,89.22,107.76,96.56
1243,4741,51,West Runton Freshwater Bed,1789,47,48,45,47,55,48,55,56,54,58,53,59,54,64.58,64.55,56.43,61.91,68.85,60.86,66.46,72.4,81.41,81.5,77.4,79.6,74.38
1242,4749,51,West Runton Freshwater Bed,1866,50,58,45,61,50,57,50,68,71,68,62,65,52,61.82,69.13,52.68,71.03,59.31,65.65,57.71,79.03,89.43,83.8,78.41,78.85,65.7
1241,4757,51,West Runton Freshwater Bed,1718,55,50,48,51,45,46,48,61,48,57,54,56,50,77.89,71.55,62.88,70.42,63.04,62.75,62.92,82.35,83.69,87.6,85.78,82.82,76.53
1240,4769,51,West Runton Freshwater Bed,1793,42,55,57,57,59,58,61,61,58,53,63,63,58,59.28,71.27,68.23,71.66,72.62,70.65,72.27,77.12,84.94,76.1,86.99,83.25,78.03
1239,4780,51,West Runton Freshwater Bed,1656,35,43,40,49,40,42,42,49,43,35,50,44,40,62.53,68.92,57.9,72.35,61.69,62.15,59.95,74.68,85.92,71.79,88.22,76.26,71.91
1238,4736,51,West Runton Freshwater Bed,1687,45,43,52,57,54,58,53,70,64,58,62,63,61,70.21,66.73,68.39,78.38,73.86,76.45,69.44,93.52,103.31,91.69,97.0,92.54,90.22
1237,4744,51,West Runton Freshwater Bed,1786,47,51,52,59,58,53,50,72,73,65,65,65,58,64.8,67.76,63.57,74.1,72.03,66.03,61.61,88.61,100.76,88.8,89.72,85.86,78.64
